id,created_at,full_text,media,screen_name,name,profile_image_url,user_id,in_reply_to,retweeted_status,quoted_status,media_tags,favorite_count,retweet_count,bookmark_count,quote_count,reply_count,views_count,favorited,retweeted,bookmarked,url
1829415277278212108,2024-08-30 09:06:05 +02:00,"@KatsukiSet La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nEn cas de besoin, je suis disponible sur Messenger \n▶️ https://t.co/foZUyQkGH3 ou via https://t.co/3Rzd3llaL8\n\nMerci\n\nZelda – Free",[],Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,1827229340188471752,null,null,[],0,0,0,0,0,17,FALSE,FALSE,FALSE,https://twitter.com/Freebox/status/1829415277278212108
1829415750987047358,2024-08-30 09:07:58 +02:00,"@floflo530 La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nEn cas de besoin, je suis disponible sur Messenger \n▶️ https://t.co/foZUyQkGH3 ou via https://t.co/3Rzd3llaL8\n\nMerci\n\nZelda – Free",[],Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,1827253725842354503,null,null,[],0,0,0,0,0,128,FALSE,FALSE,FALSE,https://twitter.com/Freebox/status/1829415750987047358
1829415983028519356,2024-08-30 09:08:53 +02:00,"@Benilebarge La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nEn cas de besoin, je suis disponible sur Messenger \n▶️ https://t.co/foZUyQkGH3 ou via https://t.co/3Rzd3llaL8\n\nMerci\n\nZelda – Free",[],Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,1827265926871265553,null,null,[],0,0,0,0,0,4,FALSE,FALSE,FALSE,https://twitter.com/Freebox/status/1829415983028519356
1829416369374339450,2024-08-30 09:10:26 +02:00,"@Laury_bro971 La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nEn cas de besoin, je suis disponible sur Messenger \n▶️ https://t.co/foZUyQkGH3 ou via https://t.co/3Rzd3llaL8\n\nMerci\n\nZelda – Free",[],Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,1827301313895452816,null,null,[],0,0,0,0,0,60,FALSE,FALSE,FALSE,https://twitter.com/Freebox/status/1829416369374339450
1829416966810910723,2024-08-30 09:12:48 +02:00,"@ptnjaimelavie La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nEn cas de besoin, je suis disponible sur Messenger \n▶️ https://t.co/foZUyQkGH3 ou via https://t.co/3Rzd3llaL8\n\nMerci\n\nZelda – Free",[],Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,1827312271653032314,null,null,[],0,0,0,0,0,7,FALSE,FALSE,FALSE,https://twitter.com/Freebox/status/1829416966810910723
1829417084217933908,2024-08-30 09:13:16 +02:00,"@Juliek77531286 La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nEn cas de besoin, je suis disponible sur Messenger \n▶️ https://t.co/foZUyQkGH3 ou via https://t.co/3Rzd3llaL8\n\nMerci\n\nZelda – Free",[],Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,null,null,null,[],0,0,0,0,0,75,FALSE,FALSE,FALSE,https://twitter.com/Freebox/status/1829417084217933908
1829417354058428470,2024-08-30 09:14:20 +02:00,"@jaad_soo La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nEn cas de besoin, je suis disponible sur Messenger \n▶️ https://t.co/foZUyQkGH3 ou via https://t.co/3Rzd3llaL8\n\nMerci\n\nZelda – Free",[],Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,1827322415858237448,null,null,[],0,0,0,0,0,105,FALSE,FALSE,FALSE,https://twitter.com/Freebox/status/1829417354058428470
1829417858780066183,2024-08-30 09:16:21 +02:00,"@AlbanStramare La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nEn cas de besoin, je suis disponible sur Messenger \n▶️ https://t.co/foZUyQkGH3 ou via https://t.co/3Rzd3llaL8\n\nMerci\n\nZelda – Free",[],Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,1827337835545772046,null,null,[],0,0,0,0,0,300,FALSE,FALSE,FALSE,https://twitter.com/Freebox/status/1829417858780066183
1829418069711561178,2024-08-30 09:17:11 +02:00,"@nico_poir La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nEn cas de besoin, je suis disponible sur Messenger \n▶️ https://t.co/foZUyQkGH3 ou via https://t.co/3Rzd3llaL8\n\nMerci\n\nZelda – Free",[],Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,1827340266702786911,null,null,[],0,0,0,0,0,307,FALSE,FALSE,FALSE,https://twitter.com/Freebox/status/1829418069711561178
1829418406069637581,2024-08-30 09:18:31 +02:00,"@Michel2laude La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nEn cas de besoin, je suis disponible sur Messenger \n▶️ https://t.co/foZUyQkGH3 ou via https://t.co/3Rzd3llaL8\n\nMerci\n\nZelda – Free",[],Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,1827356421358309710,null,null,[],0,0,0,0,0,14,FALSE,FALSE,FALSE,https://twitter.com/Freebox/status/1829418406069637581
